sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('reinforcing', 'challenging');('reinforcing', 'challenging');('reinforcing', 'no_effect');('reinforcing', 'no_effect');('challenging', 'no_effect');('challenging', 'no_effect')
liwc_scores_analytic;False;False;0.3956687735768009;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.5723835690715606;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.071161755581874;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.08555827373427126;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.7202007640200527;False;;;False;;False;;False;
liwc_scores_categories_Comma;False;False;0.06662328074173984;False;;;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.1719652920125376;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.3045806800266083;False;;;False;;False;;same values;same values
liwc_scores_categories_OtherP;False;False;0.38985605462269785;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.9869281575706172;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.02426097378187138;True;;;False;;True;-0.16;False;
liwc_scores_categories_QMark;False;False;0.7045460896970399;False;;;False;;False;;False;
liwc_scores_categories_Quote;False;False;0.5536936786776064;False;;;False;;False;;same values;same values
liwc_scores_categories_SemiC;False;False;0.267411721390363;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.24645490692660213;False;;;False;;False;;False;
liwc_scores_categories_adj;False;False;0.21495235553634873;False;;;False;;False;;False;
liwc_scores_categories_adverb;False;False;0.007835133453601822;True;;;False;;True;0.18;False;
liwc_scores_categories_affect;False;False;0.35521154521795556;False;;;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.03932934078250159;True;;;False;;False;;True;-0.23
liwc_scores_categories_anger;False;False;0.09579660848849535;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.5242934286563777;False;;;False;;False;;False;
liwc_scores_categories_article;True;True;0.658634330495351;False;;F(2,361)= 0.42, p = 0.6586343, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_assent;False;False;0.3217431695350354;False;;;False;;False;;False;
liwc_scores_categories_auxverb;False;False;0.26404855629960994;False;;;False;;False;;False;
liwc_scores_categories_bio;False;False;0.6781627899162168;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.8851556489091088;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.13977236468568877;False;;;False;;False;;False;
liwc_scores_categories_certain;False;False;0.41220452064196655;False;;;False;;False;;False;
liwc_scores_categories_cogproc;False;False;0.3248034073312865;False;;;False;;False;;False;
liwc_scores_categories_compare;False;False;0.8699649879523664;False;;;False;;False;;False;
liwc_scores_categories_conj;False;False;0.2264878582122641;False;;;False;;False;;False;
liwc_scores_categories_death;False;False;0.5152333114115204;False;;;False;;False;;False;
liwc_scores_categories_differ;False;False;0.8311041661268658;False;;;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.14415772537852745;False;;;False;;False;;False;
liwc_scores_categories_drives;True;True;0.9507434916941527;False;;F(2,361)= 0.05, p = 0.9507435, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_family;False;False;0.5333664844974877;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.6735923500413974;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.05268547758735462;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.6037675472902901;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.16550564811604818;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.7710455106480898;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.22974409302738044;False;;F(2,361)= 1.48, p = 0.2297441, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_friend;False;False;0.6892262406538805;False;;;False;;False;;False;
liwc_scores_categories_function;False;False;0.9757392195816447;False;;;False;;False;;False;
liwc_scores_categories_health;False;False;0.7383063169940238;False;;;False;;False;;False;
liwc_scores_categories_hear;False;False;0.8228958764748172;False;;;False;;False;;False;
liwc_scores_categories_home;False;False;0.9367753283922489;False;;;False;;False;;False;
liwc_scores_categories_i;False;False;0.8518191407644692;False;;;False;;False;;False;
liwc_scores_categories_informal;False;False;0.23385393273344077;False;;;False;;False;;False;
liwc_scores_categories_ingest;False;False;0.6568219104958242;False;;;False;;False;;False;
liwc_scores_categories_insight;False;False;0.8169142180111246;False;;;False;;False;;False;
liwc_scores_categories_interrog;False;False;0.876044734122319;False;;;False;;False;;False;
liwc_scores_categories_ipron;False;False;0.7185397990164948;False;;;False;;False;;False;
liwc_scores_categories_leisure;False;False;0.7826244213478613;False;;;False;;False;;False;
liwc_scores_categories_male;False;False;0.5086990231375179;False;;;False;;False;;False;
liwc_scores_categories_money;False;False;0.12174926881191825;False;;;False;;False;;False;
liwc_scores_categories_motion;False;False;0.33566867195832;False;;;False;;False;;False;
liwc_scores_categories_negate;False;False;0.6845480618710077;False;;;False;;False;;False;
liwc_scores_categories_negemo;False;False;0.6756587260158587;False;;;False;;False;;False;
liwc_scores_categories_netspeak;False;False;0.7925957395909466;False;;;False;;False;;False;
liwc_scores_categories_nonflu;False;False;0.36740009182570654;False;;;False;;False;;False;
liwc_scores_categories_number;False;False;0.3815473784848918;False;;;False;;False;;False;
liwc_scores_categories_percept;False;False;0.49420897727928814;False;;;False;;False;;False;
liwc_scores_categories_posemo;False;False;0.23742935417717845;False;;;False;;False;;False;
liwc_scores_categories_power;False;False;0.6515070865654458;False;;;False;;False;;False;
liwc_scores_categories_ppron;False;False;0.06295189047732483;False;;;False;;False;;False;
liwc_scores_categories_prep;False;False;0.09814996482404217;False;;;False;;False;;False;
liwc_scores_categories_pronoun;False;False;0.5118505693918892;False;;;False;;False;;False;
liwc_scores_categories_quant;False;False;0.3067349389121463;False;;;False;;False;;False;
liwc_scores_categories_relativ;False;False;0.6576953725685271;False;;;False;;False;;False;
liwc_scores_categories_relig;False;False;0.6954580764571366;False;;;False;;False;;False;
liwc_scores_categories_reward;False;False;0.7918140433454417;False;;;False;;False;;False;
liwc_scores_categories_risk;False;False;0.2611048806501662;False;;;False;;False;;False;
liwc_scores_categories_sad;False;False;0.21290533933746836;False;;;False;;False;;False;
liwc_scores_categories_see;False;False;0.3882608921011644;False;;;False;;False;;False;
liwc_scores_categories_sexual;False;False;0.7095190051968263;False;;;False;;False;;False;
liwc_scores_categories_shehe;False;False;0.2610517374933438;False;;;False;;False;;False;
liwc_scores_categories_social;False;False;0.20221226682642376;False;;;False;;False;;False;
liwc_scores_categories_space;True;True;0.8843954505905945;False;;F(2,361)= 0.12, p = 0.8843955, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_swear;False;False;0.33667988448728337;False;;;False;;False;;False;
liwc_scores_categories_tentat;False;False;0.8681381954846341;False;;;False;;False;;False;
liwc_scores_categories_they;False;False;0.8298695845320593;False;;;False;;False;;False;
liwc_scores_categories_time;False;False;0.09767777874507123;False;;;False;;False;;False;
liwc_scores_categories_verb;False;False;0.09265540933085166;False;;;False;;False;;False;
liwc_scores_categories_we;False;False;0.08475307179353694;False;;;False;;False;;False;
liwc_scores_categories_work;False;False;0.27465538606457107;False;;;False;;False;;False;
liwc_scores_categories_you;False;False;0.27255654262813206;False;;;False;;False;;False;
liwc_scores_clout;False;False;0.05645111669661077;False;;;False;;False;;False;
liwc_scores_dic;True;False;0.7522387498949544;False;;;False;;False;;False;
liwc_scores_sixLtr;True;True;0.4001165699424548;False;;F(2,361)= 0.92, p = 0.4001166, ω2 = -0.00;False;;False;;False;
liwc_scores_tone;False;False;0.5876879073017958;False;;;False;;False;;False;
liwc_scores_wc;False;False;0.8519047071814635;False;;;False;;False;;False;
liwc_scores_wps;False;False;0.054118528177702;False;;;False;;False;;True;0.22
nrc_anger;False;False;0.2552087512558377;False;;;False;;False;;False;
nrc_anticipation;False;False;0.4682457592986524;False;;;False;;False;;False;
nrc_disgust;False;False;0.7756188871306043;False;;;False;;False;;False;
nrc_fear;False;False;0.6838958540533618;False;;;False;;False;;False;
nrc_joy;False;False;0.20130073175277674;False;;;False;;False;;False;
nrc_negative;False;False;0.7515816644665745;False;;;False;;False;;False;
nrc_positive;False;False;0.24682160319518473;False;;;False;;False;;False;
nrc_ratio;True;True;0.9726126063769595;False;;F(2,361)= 0.03, p = 0.9726126, ω2 = -0.01;False;;False;;False;
nrc_sadness;False;False;0.696166040484107;False;;;False;;False;;False;
nrc_surprise;False;False;0.8381794749820013;False;;;False;;False;;False;
nrc_trust;False;False;0.16486534004233136;False;;;False;;False;;False;
adu_anecdote;False;False;0.512443306946235;False;;;False;;False;;False;
adu_other;False;False;0.17176322272046848;False;;;False;;False;;False;
adu_statistics;False;False;0.2921051274393212;False;;;False;;False;;False;
adu_testimony;False;False;0.27090862072818744;False;;;False;;False;;False;
mpqa_arg_assessments;False;False;0.7524105946652815;False;;;False;;False;;False;
mpqa_arg_authority;False;False;0.7419438013711768;False;;;False;;False;;False;
mpqa_arg_causation;False;False;0.6737281691662895;False;;;False;;False;;False;
mpqa_arg_conditionals;False;False;0.8511922492867852;False;;;False;;False;;False;
mpqa_arg_contrast;False;False;0.6508710436351399;False;;;False;;False;;False;
mpqa_arg_difficulty;False;False;0.25495108686620693;False;;;False;;False;;False;
mpqa_arg_doubt;False;False;0.18808704669700096;False;;;False;;False;;False;
mpqa_arg_emphasis;False;False;0.3167970329458328;False;;;False;;False;;False;
mpqa_arg_generalization;False;False;0.41416257695065506;False;;;False;;False;;False;
mpqa_arg_inconsistency;False;False;0.6356899880454765;False;;;False;;False;;False;
mpqa_arg_lexicon_ratio;False;False;0.38223672927325225;False;;;False;;False;;False;
mpqa_arg_necessity;False;False;0.2608312391434093;False;;;False;;False;;False;
mpqa_arg_possibility;False;False;0.48447367117578544;False;;;False;;False;;False;
mpqa_arg_priority;False;False;0.047430596455247526;True;;;True;0.13;False;;False;
mpqa_arg_rhetoricalquestion;False;False;0.4573870902715652;False;;;False;;False;;False;
mpqa_arg_structure;False;False;0.5367367176286617;False;;;False;;False;;False;
mpqa_arg_wants;False;False;0.0006734305651560796;True;;;True;-0.02;True;-0.05;False;
mpqa_subjobg_obj;False;False;0.41964745769120915;False;;;False;;False;;False;
mpqa_subjobg_subj;False;False;0.9240618073845843;False;;;False;;False;;False;
