,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
21,0.4,0.41,0.41,0.4,0.36,0.45,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",extreme_majority
39,0.38,0.42,0.42,0.34,0.26,0.54,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",extreme_majority
37,0.38,0.4,0.4,0.38,0.3,0.46,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
26,0.38,0.41,0.41,0.33,0.32,0.5,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",extreme_majority
53,0.37,0.42,0.42,0.3,0.27,0.54,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
20,0.37,0.42,0.42,0.29,0.26,0.55,"{'C': 10, 'class_weight': 'balanced'}","('adu', 'lemma')",extreme_majority
44,0.37,0.41,0.41,0.28,0.31,0.52,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",extreme_majority
41,0.37,0.39,0.39,0.38,0.29,0.45,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",extreme_majority
22,0.36,0.38,0.38,0.33,0.27,0.46,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",extreme_majority
19,0.36,0.42,0.42,0.28,0.25,0.56,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",extreme_majority
48,0.36,0.42,0.42,0.29,0.22,0.56,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
49,0.36,0.43,0.43,0.26,0.25,0.57,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
10,0.36,0.41,0.41,0.32,0.23,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'lemma')",extreme_majority
16,0.36,0.38,0.38,0.34,0.28,0.46,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",extreme_majority
11,0.35,0.36,0.36,0.37,0.31,0.38,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",extreme_majority
27,0.35,0.41,0.41,0.29,0.23,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",extreme_majority
40,0.35,0.39,0.39,0.28,0.28,0.49,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",extreme_majority
6,0.35,0.37,0.37,0.32,0.28,0.44,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc')",extreme_majority
32,0.35,0.37,0.37,0.32,0.29,0.43,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",extreme_majority
42,0.34,0.37,0.37,0.32,0.22,0.47,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",extreme_majority
30,0.34,0.41,0.41,0.26,0.22,0.55,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extreme_majority
1,0.34,0.35,0.35,0.33,0.32,0.39,"{'C': 10, 'class_weight': 'balanced'}","('nrc',)",extreme_majority
23,0.34,0.39,0.39,0.28,0.25,0.5,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",extreme_majority
35,0.34,0.38,0.38,0.29,0.26,0.48,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extreme_majority
57,0.34,0.4,0.4,0.31,0.19,0.52,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
4,0.34,0.42,0.42,0.27,0.19,0.56,"{'C': 100, 'class_weight': 'balanced'}","('adu',)",extreme_majority
56,0.33,0.35,0.35,0.29,0.25,0.44,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
14,0.33,0.37,0.37,0.22,0.27,0.49,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'lemma')",extreme_majority
13,0.33,0.36,0.36,0.28,0.27,0.44,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu')",extreme_majority
12,0.33,0.34,0.34,0.3,0.29,0.38,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",extreme_majority
29,0.33,0.39,0.39,0.3,0.18,0.51,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",extreme_majority
5,0.33,0.41,0.41,0.21,0.2,0.57,"{'C': 0.1, 'class_weight': 'balanced'}","('lemma',)",extreme_majority
60,0.33,0.38,0.38,0.27,0.22,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
61,0.33,0.38,0.38,0.31,0.18,0.5,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
18,0.33,0.42,0.42,0.24,0.19,0.56,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",extreme_majority
38,0.32,0.37,0.37,0.31,0.19,0.48,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
31,0.32,0.34,0.34,0.32,0.26,0.38,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",extreme_majority
50,0.32,0.36,0.36,0.23,0.25,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
34,0.32,0.36,0.36,0.24,0.26,0.46,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",extreme_majority
